variable,coef_model_a,se_model_a,t_model_a,p_model_a,coef_model_a_fmt,coef_model_b,se_model_b,t_model_b,p_model_b,coef_model_b_fmt
did_interaction,,,,,,-0.2501722652950449,1.046427848129036,-0.23907263720316804,0.8110492589681157,-0.2502
gas_import_shock_lag1,-0.0001248252171035796,0.0008817416424666698,-0.14156665750114897,0.8874993521041858,-0.0001,-0.00045604267490853773,0.0003979076878420047,-1.1461016935405792,0.25175307695784155,-0.0005
gdp_growth,-0.23597326267179805,0.0756343201912671,-3.1199230993953457,0.0019509348392527937,-0.2360***,-0.24691395824300735,0.07849333137736064,-3.145667968352064,0.0016570801159498229,-0.2469***
high_energy_dependence,,,,,,3.49940503341349,1.115483970977286,3.1371181697462034,0.0017061734595763232,3.4994***
imports_gdp,0.11981035675622805,0.05871627040843231,2.0404967127990803,0.0420103224398769,0.1198**,0.09896510375175878,0.050890954734409584,1.9446501695289315,0.051817096723351476,0.0990*
post_2022,,,,,,1.7570831568707725,0.6866490974001657,2.5589244397517628,0.010499656009984063,1.7571**
shock_x_highdep_lag1,-0.0005375236989525026,0.0010136034593497506,-0.5303096531431889,0.5962153663217087,-0.0005,,,,,
